"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"mgtB",2.58644486942483,7.12099518868587,546.551248276646,1.76640105567092e-20,8.52995069783487e-17,"SL1344_3728","mgtB"
"mpl",-1.40695484070095,8.01882093944447,356.56463113295,4.0269084005206e-19,9.72297033305699e-16,"SL1344_4349","mpl"
"virK",3.26229239483188,10.4303749066309,750.389073495387,1.24774483751317e-18,2.00845327345037e-15,"SL1344_2764","virK"
"AmgR",2.18276791131343,5.86220602757339,302.130514760734,4.72891008909123e-18,5.70897670505539e-15,"AmgR","AmgR"
"pagN",1.94460342310425,6.7904184141613,289.624245697094,2.97296748866925e-17,2.87129200055677e-14,"SL1344_0302","pagN"
"cdh-a",1.38311701000786,8.93895516338044,261.089809495665,4.0168077604042e-17,3.23286077916531e-14,"SL1344_4013","cdh-a"
"sodCa",1.37116566519084,7.45933368680488,257.740009114416,4.84605096208952e-17,3.34308287084718e-14,"SL1344_0983","sodCa"
"pipB2",2.26942461744177,7.35950857003153,381.078618208364,6.2060273336243e-17,3.74611324925897e-14,"SL1344_2763","pipB2"
"orgB",1.2996114780711,8.78395595042717,234.23579732525,1.92895647870808e-16,1.0349923150757e-13,"SL1344_2849","orgB"
"udg",1.42889751809075,7.15679586995023,222.395543241016,4.05476384280845e-16,1.9580454596922e-13,"SL1344_2057","udg"
"SL1344_3560",1.44508272965422,6.53323997641879,211.264227465003,8.42023031734462e-16,3.69648110931429e-13,"SL1344_3560","SL1344_3560"
"mig-14",2.49837921166739,9.40092340874212,454.439369232655,2.10522447905392e-15,8.47177417445946e-13,"SL1344_2765","mig-14"
"phoP",0.979275073877206,9.24460019979337,184.402483309952,5.69440743850322e-15,2.11525334773323e-12,"SL1344_1169","phoP"
"mdoB",1.16770735488432,9.2715461191967,178.127995754616,1.47282722957831e-14,5.08020192259545e-12,"SL1344_4472","mdoB"
"mgtA",1.02512594251545,8.31749543693093,165.222892718429,2.59463047192409e-14,8.35298036594763e-12,"SL1344_4387","mgtA"
"orgC",1.37650520481643,7.13534821880016,179.055258276061,2.85044677970563e-14,8.60300468699904e-12,"SL1344_2848","orgC"
"pmrF",1.18446260073318,7.28845252715671,161.681386768207,3.48895524945229e-14,9.91068523506183e-12,"SL1344_2267","pmrF"
"lpxO",1.30820629330381,6.81540624871072,155.517244455456,8.8879071945152e-14,2.38442799123966e-11,"SL1344_4223","lpxO"
"SL1344_P1_0061",1.31422319504472,9.73230623610275,182.742811111103,1.4616616097086e-13,3.71492837541201e-11,"SL1344_P1_0061","SL1344_P1_0061"
"yaiB",1.59248107267407,8.08924003548228,213.203110326479,3.12508184371471e-13,7.54551011164918e-11,"SL1344_0378","yaiB"
"aroQ",1.7344335781437,5.51569056111863,138.326343710363,5.24978116695088e-13,1.20719967881932e-10,"SL1344_1204","aroQ"
"rlgA",0.825161507345902,8.27571307522552,127.372090370377,8.45779465496245e-13,1.85648592676426e-10,"SL1344_P1_0062","rlgA"
"basR",1.06221645347476,7.61604915905486,129.589422203965,9.79370279987582e-13,2.05625177480871e-10,"SL1344_4229","basR"
"rna",0.907594316306943,7.71208826611951,123.847911955895,1.21935692839343e-12,2.45344775300495e-10,"SL1344_0605","rna"
"phoN",2.00065910813679,8.41068445551628,260.685622182818,2.0500731978863e-12,3.95992138903719e-10,"SL1344_4255","phoN"
"yfbE",1.11968364515925,7.84850582892942,129.314616936634,4.9642622308878e-12,9.22016242806046e-10,"SL1344_2266","yfbE"
"yicL",1.06673269556411,6.30628130880551,110.648464348518,5.18912247687707e-12,9.28084164475532e-10,"SL1344_3730","yicL"
"SL1344_1602",1.4601890949949,7.71726191490843,160.912490692347,1.16752069346221e-11,2.01355622454608e-09,"SL1344_1602","SL1344_1602"
"yfbG",1.2510206011216,8.22925212187122,144.684292949764,1.25420792018743e-11,2.08847242985694e-09,"SL1344_2268","yfbG"
"ftsN",-0.786319746397029,7.89596735653773,99.6184780652173,1.93800102663289e-11,3.11953565253674e-09,"SL1344_4042","ftsN"
"basS",1.06259764365291,7.86231584597413,115.969333635374,2.19956481721522e-11,3.42635435559107e-09,"SL1344_4228","basS"
"SL1344_4014",1.50608192730929,4.94187312912063,97.5161114272487,2.52286978541976e-11,3.80716818556e-09,"SL1344_4014","SL1344_4014"
"pmrD",1.4340408443369,6.75044452787612,133.165062379883,2.7788270868718e-11,4.06635030378907e-09,"SL1344_2273","pmrD"
"yeiU",0.772014168247588,8.36422502853658,93.849162396673,4.03864369434132e-11,5.57217439999264e-09,"SL1344_2190","yeiU"
"SL1344_2272",1.16199531098176,5.61038823146784,93.9728147356139,3.97418216571215e-11,5.57217439999264e-09,"SL1344_2272","SL1344_2272"
"SL1344_4016",0.849743410265318,6.89954895168094,93.4363194110032,4.26202622841167e-11,5.71703462694443e-09,"SL1344_4016","SL1344_4016"
"pagC",1.76395655045239,6.60498626389918,156.337105032615,4.43052763145362e-11,5.78243727899717e-09,"SL1344_1184","pagC"
"phoQ",0.762937646494138,8.52216177000647,88.6053390395313,8.11196151891778e-11,1.03085953091721e-08,"SL1344_1168","phoQ"
"ydcR",0.867398477826018,6.5101462766712,88.3684890725911,8.37757602636149e-11,1.03731575977691e-08,"SL1344_1529","ydcR"
"yihX",0.787659523388771,7.53742968795781,87.7348727379485,9.13456384298098e-11,1.08319518441407e-08,"SL1344_3972","yihX"
"SL1344_4015",1.33909870729853,4.95807505184674,87.6853378080397,9.19672863138883e-11,1.08319518441407e-08,"SL1344_4015","SL1344_4015"
"steA",1.74859312619536,8.06576335567588,182.031795069837,1.17087671183164e-10,1.3462294384369e-08,"SL1344_1514","steA"
"SL1344_0082",1.06589839129616,5.65415859416134,84.7701806412765,1.37779095931479e-10,1.54729128896072e-08,"SL1344_0082","SL1344_0082"
"yehU",0.963938120301327,6.00923151810313,83.3611769793919,1.68122283506179e-10,1.84514206148032e-08,"SL1344_2137","yehU"
"SL1344_1189",0.995732356934667,5.5499578773263,82.6215891663911,1.86821286257813e-10,2.00479998075328e-08,"SL1344_1189","SL1344_1189"
"lrhA",0.821285194423164,7.06433744925696,80.9862653425684,2.36465086024146e-10,2.4823693487187e-08,"SL1344_2299","lrhA"
"arnT",0.825603062349434,6.4077141598614,79.8029528595347,2.81033183677232e-10,2.88746647654756e-08,"SL1344_2270","arnT"
"SL1344_1795",1.69299954126551,4.42770092009274,79.1552684455454,3.09131943550424e-10,3.10999615709374e-08,"SL1344_1795","SL1344_1795"
"pagP",1.36786405496452,8.57579588235942,134.971247585823,5.05947835324917e-10,4.98616754445719e-08,"SL1344_0616","pagP"
"pdgL",1.21575662428934,5.73574868825349,79.292855895097,5.52298428244736e-10,5.33409821998766e-08,"SL1344_1530","pdgL"
"SL1344_0835",0.949572996498061,5.41238077619447,74.7842895060869,5.97013099412047e-10,5.6528946216878e-08,"SL1344_0835","SL1344_0835"
"fadD",-0.709196067175837,6.80074267283774,74.0417452827301,6.69446348327917e-10,6.21683926168368e-08,"SL1344_1747","fadD"
"rlgA2",0.814338582495163,7.93644803553163,77.4647439053191,6.91203380416e-10,6.29777570571484e-08,"SL1344_P1_0063","rlgA2"
"ilvC",0.825730785971487,7.09246933663278,70.9813592273447,1.09391942894542e-09,9.78247578218045e-08,"SL1344_3869","ilvC"
"pagO",1.69272886611511,4.92098797253762,76.2624310566062,1.21589798759057e-09,1.06755843310452e-07,"SL1344_1793","pagO"
"SL1344_1484",-1.16267799560834,5.22767857505525,69.2146403303773,1.43834766203556e-09,1.24031801070888e-07,"SL1344_1484","SL1344_1484"
"gst",0.838874931716169,7.23949608480193,70.530541561567,2.39938437014763e-09,2.03274160060402e-07,"SL1344_1383","gst"
"SL1344_1768",0.779279769327647,7.18985433365695,64.4832067290491,3.86265001939702e-09,3.21598912821866e-07,"SL1344_1768","SL1344_1768"
"SL1344_1872",0.919697616617611,6.72830053766644,67.6685425980795,6.33797811683868e-09,5.18747395359559e-07,"SL1344_1872","SL1344_1872"
"ydcW",0.82220566777229,5.98398593968582,59.7367106327458,7.23597688860498e-09,5.82375539917891e-07,"SL1344_1528","ydcW"
"phnO",1.46730952071579,4.98198798837352,66.7255885083988,7.62989251460081e-09,6.04012310705038e-07,"SL1344_4224","phnO"
"SL1344_4388",0.679973103370015,6.82096690999835,58.8067514167666,8.55592205148649e-09,6.66395928816585e-07,"SL1344_4388","SL1344_4388"
"yjdB",1.13740261393871,8.72685915318741,92.3654089273775,1.25154796359495e-08,9.59321447015873e-07,"SL1344_4230","yjdB"
"chaA",0.677155309812,7.32418147429609,54.2433323238475,1.99851555143843e-08,1.50794243717128e-06,"SL1344_1699","chaA"
"yjbA",1.35599190929512,4.57652468454864,53.6389739749551,2.24380317305429e-08,1.66697315733526e-06,"SL1344_4162","yjbA"
"SL1344_1873",0.762577220789885,6.41193840806756,53.0844008901747,2.49711999141583e-08,1.82705946038592e-06,"SL1344_1873","SL1344_1873"
"SL1344_2269",1.1248166400294,6.51702065962084,70.3902837303928,2.90795845122592e-08,2.06507814131911e-06,"SL1344_2269","SL1344_2269"
"ompR",0.564450167295004,7.81267287251001,52.3637715587177,2.87254782094587e-08,2.06507814131911e-06,"SL1344_3469","ompR"
"rbn",0.697405736638879,6.62684610616944,52.2065137871986,2.9621817536697e-08,2.07309792586536e-06,"SL1344_3973","rbn"
"kdpF",1.26465557744044,4.97442084795741,51.2389671463472,3.58326043547791e-08,2.44825578463863e-06,"SL1344_0688A","kdpF"
"yecA",0.6107658769762,6.73521788434972,51.215937573921,3.59963058002367e-08,2.44825578463863e-06,"SL1344_1871","yecA"
"yeiG",0.707388510725412,7.26185393062751,52.4809573810429,3.76008686594678e-08,2.52186937161903e-06,"SL1344_2171","yeiG"
"ssrB",1.17168297682035,4.51639314262317,49.8730268582747,4.70617835910475e-08,3.11316921864614e-06,"SL1344_1325","ssrB"
"nixA",1.09610015779406,4.84311229739554,49.7292696083007,4.84445973173768e-08,3.16133730331909e-06,"SL1344_2767","nixA"
"ais",0.877700118518749,5.74929488867026,49.6296601675354,4.94280177321898e-08,3.18250530171659e-06,"SL1344_2265","ais"
"dacC",0.674945517873633,6.2432717391281,47.9030643299997,7.0309252637145e-08,4.46741290769438e-06,"SL1344_0839","dacC"
"yjeH",0.761390933552877,6.37974144970964,47.6818607926295,7.52290519144667e-08,4.7179362557787e-06,"SL1344_4265","yjeH"
"cspA",-0.565793278238774,9.72120536211069,45.8664009716693,1.0763250374729e-07,6.66355590507262e-06,"SL1344_3615","cspA"
"asnA",-0.534737089711007,7.44644800171439,45.7279542805062,1.10839290622448e-07,6.77522701792155e-06,"SL1344_3844","asnA"
"SL1344_P1_0064",0.691045312148393,6.46383213826401,43.1289951718052,1.94296437996834e-07,1.17282187385839e-05,"SL1344_P1_0064","SL1344_P1_0064"
"cspC",0.591120958373043,8.14209278405143,42.8581238921286,2.56317428668218e-07,1.52809489264052e-05,"SL1344_1766","cspC"
"yqjE",0.518456956905587,6.81665419329504,39.7892728678461,4.11863261549408e-07,2.42547279270987e-05,"SL1344_3202","yqjE"
"SL1344_0213",0.642130680307693,5.96905653049813,39.586665278413,4.31566266300604e-07,2.51088373489833e-05,"SL1344_0213","SL1344_0213"
"ybjG",0.736107531274404,5.57654973675837,38.8136374128756,5.16447764054737e-07,2.96895982454801e-05,"SL1344_0841","ybjG"
"phoB",0.505552847913232,6.91325906832545,36.8946325930502,8.13704930926437e-07,4.6228013075809e-05,"SL1344_0392","phoB"
"yfcG",0.825387673964129,4.9356241239099,36.5798094096656,8.77809062911881e-07,4.8816810044896e-05,"SL1344_2318","yfcG"
"rumA",0.475680551832949,8.20096872672303,36.5718811059192,8.79491090061286e-07,4.8816810044896e-05,"SL1344_2938","rumA"
"yehT",0.784337199338701,4.86295268136142,36.5149504430127,8.91670240246408e-07,4.89304044335216e-05,"SL1344_2136","yehT"
"slyB",0.689000243554036,9.67351946806203,43.644279203017,9.96018180219579e-07,5.40423796885432e-05,"SL1344_1377","slyB"
"nfnB",0.452873296135778,7.58599592096597,35.9064169565455,1.03364352684663e-06,5.54607176793599e-05,"SL1344_0566","nfnB"
"cydA",0.475224357788904,9.74190630788075,35.8583563269227,1.04583665732316e-06,5.54982991012479e-05,"SL1344_0722","cydA"
"folB",0.5466686354549,6.42439371344891,35.495745084023,1.14290804945586e-06,5.99902496828515e-05,"SL1344_3179","folB"
"ompF",-0.662150375471368,7.93604357747456,41.5004008111351,1.15821975510781e-06,6.01402494345767e-05,"SL1344_0936","ompF"
"SL1344_1025",0.678811467814674,6.95191301117402,38.4193034312331,1.18439033335099e-06,6.08449034016164e-05,"SL1344_1025","SL1344_1025"
"htrA",0.48020661586587,8.34065046509416,33.9121076313096,1.6940081921645e-06,8.61091111574988e-05,"SL1344_0210","htrA"
"SL1344_1396",0.42616432287201,8.61977562040529,33.7622725577631,1.75916171639491e-06,8.84894992549065e-05,"SL1344_1396","SL1344_1396"
"ylaC",0.970271025730568,5.90631955124507,41.1199671991663,2.25717043158478e-06,0.0001123698558157,"SL1344_0464","ylaC"
"ybiJ",0.628949110724955,6.10423403859524,32.4603723735591,2.45118098876959e-06,0.000120783193824167,"SL1344_0799","ybiJ"
"rstA",0.427808581724614,8.31262803893161,32.3290911908342,2.53554257203223e-06,0.000123678132124683,"SL1344_1405","rstA"
"ydiR",0.853428761538814,4.88056474426724,31.6797782495004,3.00066334463546e-06,0.000144902032912446,"SL1344_1287","ydiR"
"SL1344_1477",0.844114611260478,5.1101524185615,31.4562242740296,3.24588616005419e-06,0.00015519192343467,"SL1344_1477","SL1344_1477"
"SL1344_1786",0.760856258811484,5.08240071641835,31.2212600690496,3.38330016345453e-06,0.00016017604401296,"SL1344_1786","SL1344_1786"
"yraP",0.439876500090048,7.06397991082419,30.9494003217007,3.63439102963508e-06,0.000170392954195222,"SL1344_3240","yraP"
"feoA",1.02564891600664,3.91278879646177,30.3558343321399,4.25407507432525e-06,0.000197528158979967,"SL1344_3472","feoA"
"SL1344_1874",1.30602532538434,3.69938383179161,29.9984439629292,4.68061109414362e-06,0.000215263533082091,"SL1344_1874","SL1344_1874"
"SL1344_4434",1.16979640165253,3.89790423981266,29.9558087875629,4.73445223755419e-06,0.000215685564671219,"SL1344_4434","SL1344_4434"
"gyrI",0.639664378245133,5.18866883570894,29.6092074888404,5.19737048838089e-06,0.000234561701760666,"SL1344_2037","gyrI"
"ydgT",0.592898044579069,7.03382761617849,31.4216156900116,5.48869237507461e-06,0.000245415698881808,"SL1344_1393","ydgT"
"yaoF",0.804752805009399,4.69632891379652,29.0741955012297,6.00886295750166e-06,0.000266209167172252,"SL1344_1211","yaoF"
"yqjA",0.521344698149265,6.14569713347277,28.5950569366777,6.8503763583869e-06,0.000300731522133185,"SL1344_3199","yqjA"
"nifJ",0.431744667772678,7.9437242175995,28.3977307321184,7.2326027904897e-06,0.000314650800678151,"SL1344_1581","nifJ"
"dcuC",0.549638674005112,5.72171420157565,28.3637483106608,7.30068545657752e-06,0.000314776875623329,"SL1344_0615","dcuC"
"mgtR",2.08458697170189,1.88101242128179,27.795774960859,8.5453789081183e-06,0.000365182608383215,"SL1344_3727A","mgtR"
"thrB",0.425274248232694,7.59631500214655,27.7152460595854,8.73936758285714e-06,0.000370196544365062,"SL1344_0003","thrB"
"cydB",0.415830152614883,8.83483262471463,27.6491848588689,8.90200026893012e-06,0.000373806602597074,"SL1344_0723","cydB"
"ribD",0.427146835882923,7.78970394700175,27.3443539572907,9.69525245919398e-06,0.000403606673495239,"SL1344_0410","ribD"
"ybjX",0.431144652482686,10.018659964406,27.2737447857251,9.88951032976372e-06,0.000408174746858368,"SL1344_0879","ybjX"
"pagK",1.21838146080501,5.25606309706799,34.0840630607031,1.05037221498414e-05,0.000429851476793087,"SL1344_1799","pagK"
"cigR",0.568966649530258,5.71480471654306,26.7546718396356,1.14510703978972e-05,0.000464682512197023,"SL1344_3727","cigR"
"kdpD",0.499560825105806,7.51969284946895,26.864784502297,1.24569035603286e-05,0.000501286560773556,"SL1344_0685","kdpD"
"dacD",0.624920231343739,6.41879656209578,27.650019313102,1.44730561966771e-05,0.000577606515485567,"SL1344_2038","dacD"
"sbmA",0.502094828263772,6.70494842785625,25.7193550572577,1.54041288954294e-05,0.000609725724885482,"SL1344_0371","sbmA"
"kdpA",0.841272908294419,8.27987671014168,37.3723656274098,1.59263764310276e-05,0.000621047180972079,"SL1344_0688","kdpA"
"SL1344_1469",0.699222362135984,5.22076937910372,25.5996239546585,1.59473701471397e-05,0.000621047180972079,"SL1344_1469","SL1344_1469"
"ycaM",0.634638329297478,5.39137203537037,25.3881109215985,1.6957452944938e-05,0.000655100322168846,"SL1344_0906","ycaM"
"glgB",0.450489617955063,6.90229835877335,25.1972822652073,1.79272468332016e-05,0.000687068848869291,"SL1344_3505","glgB"
"yghB",0.624695143828419,5.36399497590704,25.1136420235748,1.83707483685225e-05,0.000698522392689727,"SL1344_3136","yghB"
"SL1344_4471",0.682772384345994,5.13964593838922,24.8123813944283,2.00674280689777e-05,0.00075707507925854,"SL1344_4471","SL1344_4471"
"rluD",0.339335748811733,8.85569736409911,23.8797767552069,2.64633451451031e-05,0.000990631734152737,"SL1344_2622","rluD"
"ramR",0.58560313233912,5.49877026552905,23.7611476651497,2.7420895265529e-05,0.00101858079413261,"SL1344_0568","ramR"
"avrA",0.519323078281987,6.24767370520946,23.5256673819189,2.94325782377227e-05,0.00108496122374017,"SL1344_2845","avrA"
"yciL",0.351111434307299,8.20106803892591,23.3872046638951,3.06882816227437e-05,0.00112267963603204,"SL1344_1651","yciL"
"relA",0.349468144008106,9.13143691444719,23.196868677044,3.25082617724017e-05,0.00118031876766111,"SL1344_2937","relA"
"yobA",-0.551859669395164,5.96988091319164,22.9026563586466,3.55510759460137e-05,0.00128116526674104,"SL1344_1809","yobA"
"fliG",-0.343673612409755,7.76029990280502,22.7503227002606,3.72443614030918e-05,0.00133224460159652,"SL1344_1899","fliG"
"nrdE",0.402612903578992,7.18186311943158,22.2572936093869,4.33390713923783e-05,0.00153885570407202,"SL1344_2792","nrdE"
"hflK",0.362977270616849,9.73412636854239,22.1393438172027,4.49491180573777e-05,0.0015843743875845,"SL1344_4297","hflK"
"ilvM",0.539738868456828,5.6336038908592,22.0046345776004,4.68661406912222e-05,0.00163997531447762,"SL1344_3862","ilvM"
"cib",0.46641493542583,7.25899058531207,22.2511861902073,5.37564074990572e-05,0.00186755173966149,"SL1344_P2_0012","cib"
"kdpB",0.977910561975144,8.00592090824827,34.1286466353198,5.49707359785514e-05,0.00189609774314589,"SL1344_0687","kdpB"
"metB",-0.386751700554646,6.70682946342492,21.0474377701365,6.32651390472133e-05,0.0021667188401347,"SL1344_4049","metB"
"psiF",1.03829781967194,3.37335013694956,20.7518432129448,6.9489470885545e-05,0.00236313137257956,"SL1344_0379","psiF"
"purR",-0.308737051907519,7.64517827521397,20.5101910306524,7.50621215723396e-05,0.00253479010540439,"SL1344_1362","purR"
"yeaC",-0.475066974536591,5.55746951887017,20.4591356223342,7.62992747598242e-05,0.00255867498482772,"SL1344_1227","yeaC"
"ybdQ",0.424441541364096,6.82490175272418,20.3395023989829,7.92840130319805e-05,0.00264043102711334,"SL1344_0602","ybdQ"
"SL1344_1783",0.707389685129664,4.57162229414009,20.2025270488137,8.2854785840839e-05,0.00274045041661241,"SL1344_1783","SL1344_1783"
"CsrC",-0.570489743497692,10.8812900726367,24.1489837023444,8.35092496649647e-05,0.00274330725600078,"CsrC","CsrC"
"SL1344_2271",0.88520419399346,3.67537289086004,19.9241748265587,9.06494818497611e-05,0.00295774559359795,"SL1344_2271","SL1344_2271"
"ribE",0.33235978011812,7.72615440340547,19.7451909181852,9.60714322999245e-05,0.00311361709111634,"SL1344_1358","ribE"
"feoB",0.356801065310779,7.67270974918527,19.5583748500974,0.000102100776785343,0.00328696434064282,"SL1344_3473","feoB"
"suhB",-0.343496847102789,9.10832718274119,19.340983779096,0.000109628232648251,0.00350592540038678,"SL1344_2508","suhB"
"yeaZ",-0.35363457962207,6.92823456380563,19.193934498242,0.000115053769585849,0.00365522798243462,"SL1344_1749","yeaZ"
"yfcF",0.528664774389297,5.29285961914644,19.0000946194095,0.000122646661557575,0.00387098515465051,"SL1344_2317","yfcF"
"treR",-0.827288221468235,3.70811029832241,18.925004435894,0.000125729912310265,0.00394253082172901,"SL1344_4386","treR"
"bacA",0.363356003653728,6.69034912294169,18.5082058460316,0.000144414253750305,0.00449920278296917,"SL1344_3178","bacA"
"slyA",-0.395942359842137,6.8977795065254,18.4706040105562,0.000146239718264373,0.00452686922755551,"SL1344_1376","slyA"
"ygiW",-0.43013206321354,5.80924044773221,18.4411301036324,0.000147687777404674,0.00454257501329408,"SL1344_3150","ygiW"
"yraO",0.363119501007502,7.11650588559925,18.3003678235536,0.000154817283497531,0.00473172570892138,"SL1344_3239","yraO"
"hycI",0.809838195890705,3.46031545166131,18.0153375067487,0.000170401584165515,0.0051752783014797,"SL1344_2825","hycI"
"yiiD",0.397938112140441,7.52465483656102,17.9277821770708,0.000186153096530501,0.00561833314466118,"SL1344_3975","yiiD"
"yaiW",0.393815005492649,6.06658712130644,17.4766719852698,0.000204605152769471,0.00613688374362593,"SL1344_0372","yaiW"
"ilvD",0.323007233194185,7.89943005759572,17.2548559985197,0.000220754666139036,0.00658039680731733,"SL1344_3864","ilvD"
"yeaA",-0.431119066306163,6.45485786579985,17.1506039538086,0.000228809337273912,0.00677865208402283,"SL1344_1226","yeaA"
"fadR",-0.368079497867977,6.25756288335389,16.9333006381811,0.000246623128026469,0.00721783688024133,"SL1344_1733","fadR"
"int",0.306879243884613,7.32582124106583,16.9477793475039,0.000245391401161416,0.00721783688024133,"SL1344_2631","int"
"dgt",0.443915998256491,6.0488178828942,16.8880133646476,0.000250518522750323,0.00726151420852318,"SL1344_0209","dgt"
"SL1344_1568",-0.394783337770841,7.60078416942803,17.2765214190796,0.000251122980497695,0.00726151420852318,"SL1344_1568","SL1344_1568"
"sufD",0.478969189790583,6.6689508209061,17.7872123480491,0.000257054890176582,0.00738879800394473,"SL1344_1306","sufD"
"oppA",0.330838720892793,6.86792739421752,16.6458574349932,0.000272491253876693,0.00778615541402691,"SL1344_1677","oppA"
"hilC",0.961409395394115,7.43537989360193,24.9442417999702,0.000293583175351285,0.0083394891398315,"SL1344_2847","hilC"
"deoR",0.394210523757286,6.34734971629577,16.3659134372897,0.000300481543040951,0.00848552848739621,"SL1344_0840","deoR"
"leuB",0.3900778161374,5.95895599326614,16.3361709774365,0.000303630717239221,0.0085246089159779,"SL1344_0112","leuB"
"citT",0.513996369825377,5.23734168626087,16.1585297955499,0.00032318761345721,0.00896938497347624,"SL1344_0606","citT"
"nrdI",0.544882560628291,5.06028505924162,16.1704256790298,0.000321836885788796,0.00896938497347624,"SL1344_2791","nrdI"
"fliA",-0.284274395144479,9.13964699103999,16.0597363550371,0.000334641576127087,0.00923419526352974,"SL1344_1885","fliA"
"proX",0.41770841642377,6.41471982204483,16.008204091736,0.000340787268442166,0.00935035067788193,"SL1344_2796","proX"
"hflC",0.294903741727979,9.09854829753512,15.8968202506884,0.000354485914129422,0.00967125694537276,"SL1344_4298","hflC"
"ilvG",0.384419083106422,6.87999509103794,15.7430441512063,0.000374371521035357,0.0101564049161783,"SL1344_3861","ilvG"
"sufC",0.501202659020441,6.2674127186821,16.5144352344128,0.000402868878175896,0.0108395557914723,"SL1344_1305","sufC"
"yhjU",-0.379732628999233,5.93096194517224,15.5290911697927,0.000404042253564923,0.0108395557914723,"SL1344_3589","yhjU"
"ybgT",0.362136763935414,5.85662550800574,15.5076428536162,0.000407152131329029,0.0108626389071154,"SL1344_0724","ybgT"
"envZ",0.31093142641726,7.09369384607398,15.4811785378312,0.00041102453327113,0.0109057003910236,"SL1344_3468","envZ"
"yhjS",-0.337896398777167,6.76745349392675,15.3869522824105,0.000425134394675712,0.0112184371141476,"SL1344_3587","yhjS"
"yaaJ",0.356606560863225,5.8965825849543,15.3036682592107,0.000438036299309611,0.0114577783442568,"SL1344_0006","yaaJ"
"asr",0.764984946183959,3.68882625825941,15.2978704499084,0.000438949884797578,0.0114577783442568,"SL1344_1415","asr"
"soxS",0.461178250531665,5.55410908911244,15.251999813244,0.000446249988765248,0.0115857053534805,"SL1344_4201","soxS"
"SL1344_4002",1.5492323843359,1.48812984970608,15.2102807943211,0.000453001926268334,0.0116690203530896,"SL1344_4002","SL1344_4002"
"sRNA10",0.623734729815532,4.39562610854333,15.2023854877353,0.000454291949964969,0.0116690203530896,"sRNA10","sRNA10"
"fliH",-0.319305742709658,7.05487543503951,15.0485433721025,0.000480226705196682,0.0122699193618771,"SL1344_1900","fliH"
"ecnR",-0.336427199379226,6.53237365721004,15.0077661925125,0.000487362705695315,0.0123867079252773,"SL1344_4274","ecnR"
"SL1344_1606",0.403810885397239,5.45577509479446,14.9619640372943,0.000495513238890946,0.0125279237204418,"SL1344_1606","SL1344_1606"
"thrC",0.296885949614987,8.14892349142776,14.8830666880954,0.00050989613796466,0.0128084140024337,"SL1344_0004","thrC"
"slsA",0.704763964265696,4.26629136186335,14.8721978268796,0.000511912176945474,0.0128084140024337,"SL1344_3726","slsA"
"dppB",0.523628446887393,4.71988943128099,14.7913075380109,0.000527186245964461,0.0131225895967133,"SL1344_3595","dppB"
"celC",0.610859437874044,4.23825909288666,14.6915049084409,0.000546704829109134,0.0135386544603488,"SL1344_1249","celC"
"yobF",0.563730810784802,8.69172050372785,18.5902939413572,0.000549664083470161,0.0135424890769255,"SL1344_1767","yobF"
"kdpC",0.701307263167205,5.90986684763494,16.9714924856155,0.000564621860972269,0.0138404008458634,"SL1344_0686","kdpC"
"SL1344_2549",1.24238342417889,2.50371295787326,14.4237019868879,0.000602992229327365,0.0147063104819285,"SL1344_2549","SL1344_2549"
"yafD",-0.350362705178892,5.91404141631874,14.1676478104935,0.000662626261834095,0.01607950863516,"SL1344_0253","yafD"
"menD",-0.424053109621797,5.42471905322187,14.0538592756097,0.000691120682018339,0.0166871088673328,"SL1344_2278","menD"
"acpD",0.427525803500715,5.56861164000722,13.8895094064178,0.000734609712547798,0.0176489069745936,"SL1344_1572","acpD"
"gcd",0.314158440549667,8.08638081421265,13.8311770825869,0.000750740297890733,0.0179471529629423,"SL1344_0170","gcd"
"SL1344_3368",-0.283558754520987,6.99763985612586,13.6187954196459,0.000812742225981789,0.0193336562032811,"SL1344_3368","SL1344_3368"
"purB",-0.296132986011776,7.78354397108312,13.4114410832416,0.000878579583859201,0.0207973569140004,"SL1344_1170","purB"
"fixA",-0.703973766865924,3.93853554449931,13.3897711629735,0.000885781911101103,0.020865565115645,"SL1344_0076","fixA"
"SL1344_4355",1.11098737778388,2.70479147237558,13.2846551129269,0.000921625327057937,0.0216045082736057,"SL1344_4355","SL1344_4355"
"ycjX",0.390716252097185,5.94302056700665,13.2526693400829,0.000932837273630554,0.0217616965911205,"SL1344_1615","ycjX"
"marA",0.516762801043325,5.36771678812646,13.4848149579829,0.000952812958343156,0.0221208354607649,"SL1344_1449","marA"
"pgtE",0.490589416020376,4.73241273714227,13.1767681133555,0.000960030353850056,0.0221817539652723,"SL1344_2363","pgtE"
"bioB",0.28486835105406,9.74053830861696,13.1397402799608,0.000973602603385557,0.0222821183495206,"SL1344_0771","bioB"
"fhuE",0.513875109403561,5.33187818339509,13.3784544388218,0.000969653605007533,0.0222821183495206,"SL1344_1141","fhuE"
"infA",-0.439452728605031,7.33081915984318,14.4288755745539,0.00101825452845493,0.0231941090467398,"SL1344_0891","infA"
"phoR",0.344339106033341,6.27054386541637,12.93428918087,0.00105273058907391,0.0237553084796163,"SL1344_0393","phoR"
"dppA",0.309490692941284,6.73126483873471,12.9401947873769,0.0010503625504948,0.0237553084796163,"SL1344_3596","dppA"
